method,ticker,n_labels,n_flagged,tp,fp,fn,precision,recall,f1
zscore_w30_t3.0,AAPL,3,36,3,33,0,0.0833,1.0,0.1538
zscore_w30_t3.0,AMC,2,45,2,43,0,0.0444,1.0,0.0851
zscore_w30_t3.0,GME,2,48,2,44,0,0.0435,1.0,0.0833
zscore_w30_t3.0,NVDA,4,23,3,20,1,0.1304,0.75,0.2222
zscore_w30_t3.0,TSLA,2,35,2,33,0,0.0571,1.0,0.1081
zscore_w30_t3.5,AAPL,3,22,2,20,1,0.0909,0.6667,0.16
zscore_w30_t3.5,AMC,2,24,2,22,0,0.0833,1.0,0.1538
zscore_w30_t3.5,GME,2,31,2,27,0,0.069,1.0,0.129
zscore_w30_t3.5,NVDA,4,15,3,12,1,0.2,0.75,0.3158
zscore_w30_t3.5,TSLA,2,20,2,18,0,0.1,1.0,0.1818
iqr_w30_k3.0,AAPL,3,14,2,12,1,0.1429,0.6667,0.2353
iqr_w30_k3.0,AMC,2,35,2,32,0,0.0588,1.0,0.1111
iqr_w30_k3.0,GME,2,34,2,29,0,0.0645,1.0,0.1212
iqr_w30_k3.0,NVDA,4,8,3,5,1,0.375,0.75,0.5
iqr_w30_k3.0,TSLA,2,18,0,18,2,0.0,0.0,0.0
iforest_c0.01,AAPL,3,18,3,13,0,0.1875,1.0,0.3158
iforest_c0.01,AMC,2,18,2,15,0,0.1176,1.0,0.2105
iforest_c0.01,GME,2,18,2,13,0,0.1333,1.0,0.2353
iforest_c0.01,NVDA,4,18,3,15,1,0.1667,0.75,0.2727
iforest_c0.01,TSLA,2,18,1,17,1,0.0556,0.5,0.1
iforest_c0.02,AAPL,3,35,3,29,0,0.0938,1.0,0.1714
iforest_c0.02,AMC,2,35,2,32,0,0.0588,1.0,0.1111
iforest_c0.02,GME,2,35,2,30,0,0.0625,1.0,0.1176
iforest_c0.02,NVDA,4,35,3,32,1,0.0857,0.75,0.1538
iforest_c0.02,TSLA,2,35,2,33,0,0.0571,1.0,0.1081
iforest_c0.05,AAPL,3,87,3,79,0,0.0366,1.0,0.0706
iforest_c0.05,AMC,2,87,2,81,0,0.0241,1.0,0.0471
iforest_c0.05,GME,2,87,2,82,0,0.0238,1.0,0.0465
iforest_c0.05,NVDA,4,87,4,81,0,0.0471,1.0,0.0899
iforest_c0.05,TSLA,2,87,2,84,0,0.0233,1.0,0.0455
lof_n20_c0.01,AAPL,3,18,3,14,0,0.1765,1.0,0.3
lof_n20_c0.01,AMC,2,18,2,16,0,0.1111,1.0,0.2
lof_n20_c0.01,GME,2,18,2,15,0,0.1176,1.0,0.2105
lof_n20_c0.01,NVDA,4,18,3,15,1,0.1667,0.75,0.2727
lof_n20_c0.01,TSLA,2,18,1,17,1,0.0556,0.5,0.1
lof_n20_c0.02,AAPL,3,35,3,29,0,0.0938,1.0,0.1714
lof_n20_c0.02,AMC,2,35,2,33,0,0.0571,1.0,0.1081
lof_n20_c0.02,GME,2,35,2,30,0,0.0625,1.0,0.1176
lof_n20_c0.02,NVDA,4,35,3,32,1,0.0857,0.75,0.1538
lof_n20_c0.02,TSLA,2,35,1,34,1,0.0286,0.5,0.0541
lof_n50_c0.02,AAPL,3,35,3,29,0,0.0938,1.0,0.1714
lof_n50_c0.02,AMC,2,35,2,32,0,0.0588,1.0,0.1111
lof_n50_c0.02,GME,2,35,2,30,0,0.0625,1.0,0.1176
lof_n50_c0.02,NVDA,4,35,3,32,1,0.0857,0.75,0.1538
lof_n50_c0.02,TSLA,2,35,2,33,0,0.0571,1.0,0.1081
